Source,Target,Weight,Type
AGENT_COULSON,PEPPER,5,Undirected
AGENT_COULSON,THE_OTHER,1,Undirected
AGENT_COULSON,NICK_FURY,41,Undirected
AGENT_COULSON,BARTON,6,Undirected
AGENT_COULSON,THOR,13,Undirected
AGENT_COULSON,STEVE,25,Undirected
AGENT_COULSON,SELVIG,4,Undirected
AGENT_COULSON,LOKI,16,Undirected
AGENT_COULSON,AGENT_HILL,11,Undirected
AGENT_COULSON,TONY,19,Undirected
AGENT_COULSON,BANNER,6,Undirected
AGENT_COULSON,JARVIS,3,Undirected
AGENT_COULSON,NATASHA,22,Undirected
AGENT_HILL,THE_OTHER,3,Undirected
AGENT_HILL,NICK_FURY,55,Undirected
AGENT_HILL,BARTON,21,Undirected
AGENT_HILL,THOR,1,Undirected
AGENT_HILL,STEVE,3,Undirected
AGENT_HILL,SELVIG,5,Undirected
AGENT_HILL,LOKI,11,Undirected
AGENT_HILL,TONY,6,Undirected
AGENT_HILL,BANNER,4,Undirected
AGENT_HILL,NATASHA,3,Undirected
BANNER,PEPPER,1,Undirected
BANNER,THE_OTHER,3,Undirected
BANNER,NICK_FURY,34,Undirected
BANNER,BARTON,11,Undirected
BANNER,THOR,42,Undirected
BANNER,STEVE,55,Undirected
BANNER,SELVIG,6,Undirected
BANNER,LOKI,18,Undirected
BANNER,TONY,67,Undirected
BANNER,JARVIS,2,Undirected
BANNER,NATASHA,85,Undirected
BARTON,THE_OTHER,10,Undirected
BARTON,NICK_FURY,33,Undirected
BARTON,THOR,11,Undirected
BARTON,STEVE,36,Undirected
BARTON,SELVIG,12,Undirected
BARTON,LOKI,35,Undirected
BARTON,TONY,27,Undirected
BARTON,NATASHA,63,Undirected
JARVIS,PEPPER,3,Undirected
JARVIS,THE_OTHER,1,Undirected
JARVIS,THOR,3,Undirected
JARVIS,STEVE,4,Undirected
JARVIS,SELVIG,1,Undirected
JARVIS,LOKI,4,Undirected
JARVIS,TONY,28,Undirected
JARVIS,NATASHA,1,Undirected
LOKI,PEPPER,2,Undirected
LOKI,THE_OTHER,21,Undirected
LOKI,NICK_FURY,41,Undirected
LOKI,THOR,68,Undirected
LOKI,STEVE,32,Undirected
LOKI,SELVIG,24,Undirected
LOKI,TONY,48,Undirected
LOKI,NATASHA,51,Undirected
NATASHA,THE_OTHER,3,Undirected
NATASHA,NICK_FURY,18,Undirected
NATASHA,THOR,22,Undirected
NATASHA,STEVE,57,Undirected
NATASHA,SELVIG,12,Undirected
NATASHA,TONY,28,Undirected
NICK_FURY,STEVE,44,Undirected
NICK_FURY,TONY,47,Undirected
NICK_FURY,THE_OTHER,4,Undirected
NICK_FURY,SELVIG,17,Undirected
NICK_FURY,THOR,23,Undirected
PEPPER,STEVE,1,Undirected
PEPPER,TONY,54,Undirected
SELVIG,STEVE,3,Undirected
SELVIG,TONY,13,Undirected
SELVIG,THE_OTHER,6,Undirected
SELVIG,THOR,6,Undirected
STEVE,TONY,169,Undirected
STEVE,THE_OTHER,12,Undirected
STEVE,THOR,40,Undirected
THE_OTHER,TONY,11,Undirected
THE_OTHER,THOR,3,Undirected
THOR,TONY,41,Undirected
