Source,Target,Weight,Type
ASAD,SNOWMAN,18,Undirected
ASAD,NYSSA,47,Undirected
ASAD,DAMASKINOS,6,Undirected
ASAD,BLADE,40,Undirected
ASAD,VERLAINE,17,Undirected
ASAD,SCUD,17,Undirected
ASAD,CHUPA,14,Undirected
ASAD,PRIEST,12,Undirected
ASAD,LIGHTHAMMER,2,Undirected
ASAD,WHISTLER,26,Undirected
ASAD,NURSE,1,Undirected
ASAD,NOMAK,4,Undirected
ASAD,REINHARDT,8,Undirected
BLADE,SNOWMAN,8,Undirected
BLADE,RUSH,12,Undirected
BLADE,NYSSA,148,Undirected
BLADE,DAMASKINOS,25,Undirected
BLADE,VERLAINE,16,Undirected
BLADE,SCUD,76,Undirected
BLADE,CHUPA,20,Undirected
BLADE,PRIEST,10,Undirected
BLADE,LIGHTHAMMER,2,Undirected
BLADE,WHISTLER,137,Undirected
BLADE,NURSE,4,Undirected
BLADE,NOMAK,39,Undirected
BLADE,REINHARDT,65,Undirected
CHUPA,SNOWMAN,14,Undirected
CHUPA,NYSSA,14,Undirected
CHUPA,VERLAINE,7,Undirected
CHUPA,SCUD,3,Undirected
CHUPA,PRIEST,11,Undirected
CHUPA,LIGHTHAMMER,4,Undirected
CHUPA,WHISTLER,31,Undirected
CHUPA,NOMAK,2,Undirected
CHUPA,REINHARDT,9,Undirected
DAMASKINOS,WHISTLER,13,Undirected
DAMASKINOS,SCUD,5,Undirected
DAMASKINOS,NYSSA,23,Undirected
DAMASKINOS,NOMAK,12,Undirected
DAMASKINOS,REINHARDT,4,Undirected
LIGHTHAMMER,SNOWMAN,3,Undirected
LIGHTHAMMER,NYSSA,1,Undirected
LIGHTHAMMER,VERLAINE,9,Undirected
LIGHTHAMMER,SCUD,1,Undirected
LIGHTHAMMER,PRIEST,4,Undirected
LIGHTHAMMER,WHISTLER,1,Undirected
LIGHTHAMMER,NOMAK,1,Undirected
LIGHTHAMMER,REINHARDT,9,Undirected
NOMAK,SNOWMAN,1,Undirected
NOMAK,NYSSA,20,Undirected
NOMAK,VERLAINE,1,Undirected
NOMAK,SCUD,6,Undirected
NOMAK,PRIEST,1,Undirected
NOMAK,WHISTLER,15,Undirected
NOMAK,NURSE,15,Undirected
NOMAK,REINHARDT,3,Undirected
NURSE,SCUD,2,Undirected
NURSE,NYSSA,2,Undirected
NURSE,PRIEST,2,Undirected
NYSSA,SNOWMAN,11,Undirected
NYSSA,VERLAINE,12,Undirected
NYSSA,SCUD,21,Undirected
NYSSA,PRIEST,6,Undirected
NYSSA,WHISTLER,40,Undirected
NYSSA,REINHARDT,15,Undirected
PRIEST,SNOWMAN,10,Undirected
PRIEST,SCUD,3,Undirected
PRIEST,WHISTLER,2,Undirected
PRIEST,VERLAINE,4,Undirected
PRIEST,REINHARDT,8,Undirected
REINHARDT,SNOWMAN,8,Undirected
REINHARDT,SCUD,8,Undirected
REINHARDT,WHISTLER,28,Undirected
REINHARDT,VERLAINE,16,Undirected
SCUD,SNOWMAN,2,Undirected
SCUD,WHISTLER,76,Undirected
SCUD,VERLAINE,2,Undirected
SNOWMAN,WHISTLER,6,Undirected
SNOWMAN,VERLAINE,14,Undirected
VERLAINE,WHISTLER,6,Undirected
