Source,Target,Weight,Type
ALFRED,CATWOMAN,2,Undirected
ALFRED,FOX,5,Undirected
ALFRED,BLAKE,8,Undirected
ALFRED,BANE,5,Undirected
ALFRED,WAYNE,145,Undirected
ALFRED,GORDON,2,Undirected
ALFRED,MIRANDA,4,Undirected
ALFRED,Ras_Al_Ghul,3,Undirected
BANE,FOLEY,3,Undirected
BANE,CATWOMAN,15,Undirected
BANE,MIRANDA,25,Undirected
BANE,CIA_Man,18,Undirected
BANE,FOX,15,Undirected
BANE,BLAKE,10,Undirected
BANE,STRYVER,8,Undirected
BANE,WAYNE,77,Undirected
BANE,Cpt_Jones,5,Undirected
BANE,PAVEL,37,Undirected
BANE,Ras_Al_Ghul,7,Undirected
BANE,CRANE,3,Undirected
BANE,GORDON,15,Undirected
BLAKE,FOLEY,41,Undirected
BLAKE,CATWOMAN,21,Undirected
BLAKE,FOX,14,Undirected
BLAKE,Cpt_Jones,16,Undirected
BLAKE,WAYNE,65,Undirected
BLAKE,GORDON,89,Undirected
BLAKE,MIRANDA,9,Undirected
CATWOMAN,WAYNE,135,Undirected
CATWOMAN,FOX,7,Undirected
CATWOMAN,GORDON,3,Undirected
CATWOMAN,STRYVER,17,Undirected
CATWOMAN,MIRANDA,5,Undirected
CIA_Man,PAVEL,10,Undirected
CRANE,GORDON,10,Undirected
CRANE,STRYVER,5,Undirected
CRANE,MIRANDA,1,Undirected
Cpt_Jones,FOLEY,1,Undirected
Cpt_Jones,FOX,6,Undirected
Cpt_Jones,GORDON,12,Undirected
Cpt_Jones,MIRANDA,5,Undirected
FOLEY,WAYNE,5,Undirected
FOLEY,GORDON,40,Undirected
FOLEY,MIRANDA,3,Undirected
FOX,MIRANDA,46,Undirected
FOX,WAYNE,102,Undirected
FOX,GORDON,5,Undirected
FOX,STRYVER,2,Undirected
FOX,PAVEL,5,Undirected
GORDON,WAYNE,40,Undirected
GORDON,MIRANDA,19,Undirected
MIRANDA,Ras_Al_Ghul,3,Undirected
MIRANDA,WAYNE,95,Undirected
MIRANDA,PAVEL,2,Undirected
PAVEL,Ras_Al_Ghul,1,Undirected
PAVEL,WAYNE,6,Undirected
Ras_Al_Ghul,WAYNE,14,Undirected
STRYVER,WAYNE,1,Undirected
