Source,Target,Weight,Type
AJAX,DEADPOOL,131,Undirected
AJAX,DOCTOR,2,Undirected
AJAX,VANESSA,30,Undirected
AJAX,DOPINDER,1,Undirected
AJAX,RECRUITER,5,Undirected
AJAX,COLOSSUS,8,Undirected
AJAX,NTW,3,Undirected
AJAX,WEASEL,2,Undirected
AJAX,BLIND_AL,4,Undirected
AJAX,CUNNINGHAM,8,Undirected
AJAX,WARLORD,8,Undirected
BLIND_AL,VANESSA,4,Undirected
BLIND_AL,COLOSSUS,2,Undirected
BLIND_AL,DEADPOOL,17,Undirected
BLIND_AL,WEASEL,3,Undirected
BLIND_AL,NTW,1,Undirected
BOOTHE,MERCHANT,1,Undirected
BOOTHE,BUCK,4,Undirected
BOOTHE,DEADPOOL,13,Undirected
BOOTHE,VANESSA,1,Undirected
BOOTHE,RECRUITER,1,Undirected
BOOTHE,WEASEL,4,Undirected
BUCK,MERCHANT,2,Undirected
BUCK,VANESSA,6,Undirected
BUCK,DEADPOOL,18,Undirected
BUCK,WEASEL,6,Undirected
COLOSSUS,DEADPOOL,41,Undirected
COLOSSUS,REPORTER,1,Undirected
COLOSSUS,VANESSA,3,Undirected
COLOSSUS,DOPINDER,6,Undirected
COLOSSUS,NTW,18,Undirected
COLOSSUS,WEASEL,1,Undirected
CUNNINGHAM,RECRUITER,1,Undirected
CUNNINGHAM,DEADPOOL,22,Undirected
DEADPOOL,MERCHANT,22,Undirected
DEADPOOL,JEREMY,33,Undirected
DEADPOOL,DOCTOR,21,Undirected
DEADPOOL,VANESSA,209,Undirected
DEADPOOL,DOPINDER,46,Undirected
DEADPOOL,RECRUITER,27,Undirected
DEADPOOL,NTW,17,Undirected
DEADPOOL,WEASEL,93,Undirected
DOCTOR,VANESSA,6,Undirected
JEREMY,MERCHANT,9,Undirected
MERCHANT,WEASEL,1,Undirected
NTW,VANESSA,2,Undirected
VANESSA,WEASEL,13,Undirected
