Source,Target,Weight,Type
ALICIA,SUE,4,Undirected
ALICIA,JIMMY,1,Undirected
ALICIA,BEN,27,Undirected
ALICIA,JOHNNY,3,Undirected
ALICIA,ERNIE,3,Undirected
ALICIA,REED,4,Undirected
BEN,SUE,112,Undirected
BEN,JIMMY,3,Undirected
BEN,ERNIE,6,Undirected
BEN,JOHNNY,113,Undirected
BEN,REED,229,Undirected
BEN,DEBBIE,27,Undirected
BEN,NURSE,1,Undirected
BEN,CECIL,4,Undirected
BEN,VICTOR,122,Undirected
CECIL,VICTOR,16,Undirected
DEBBIE,SUE,3,Undirected
DEBBIE,REED,10,Undirected
DEBBIE,JOHNNY,5,Undirected
DEBBIE,VICTOR,3,Undirected
ERNIE,SUE,2,Undirected
ERNIE,JIMMY,2,Undirected
ERNIE,REED,2,Undirected
ERNIE,JOHNNY,2,Undirected
JIMMY,SUE,4,Undirected
JIMMY,REED,5,Undirected
JIMMY,JOHNNY,3,Undirected
JIMMY,VICTOR,5,Undirected
JOHNNY,SUE,109,Undirected
JOHNNY,REED,128,Undirected
JOHNNY,NURSE,24,Undirected
JOHNNY,VICTOR,42,Undirected
NURSE,SUE,1,Undirected
NURSE,REED,2,Undirected
NURSE,VICTOR,2,Undirected
REED,SUE,244,Undirected
REED,VICTOR,155,Undirected
SUE,VICTOR,115,Undirected
