Source,Target,Weight,Type
Bala_Tik,REY,2,Undirected
Bala_Tik,HAN,13,Undirected
Bala_Tik,FINN,1,Undirected
CHEWIE,REY,11,Undirected
CHEWIE,HAN,16,Undirected
CHEWIE,MAZ,1,Undirected
CHEWIE,POE,2,Undirected
CHEWIE,CptPhasma,1,Undirected
CHEWIE,FINN,15,Undirected
CHEWIE,KYLO_REN,4,Undirected
CHEWIE,LEIA,1,Undirected
CptPhasma,FN2187,11,Undirected
CptPhasma,TEKKA,1,Undirected
CptPhasma,HAN,4,Undirected
CptPhasma,GENERAL_HUX,4,Undirected
CptPhasma,FINN,9,Undirected
CptPhasma,KYLO_REN,2,Undirected
CptPhasma,POE,1,Undirected
FINN,FN2187,1,Undirected
FINN,REY,204,Undirected
FINN,HAN,126,Undirected
FINN,LUKE,8,Undirected
FINN,MAZ,19,Undirected
FINN,UNKAR,3,Undirected
FINN,POE,57,Undirected
FINN,KYLO_REN,15,Undirected
FINN,LEIA,12,Undirected
FN2187,POE,31,Undirected
FN2187,GENERAL_HUX,2,Undirected
GENERAL_HUX,LUKE,2,Undirected
GENERAL_HUX,SNOKE,17,Undirected
GENERAL_HUX,KYLO_REN,28,Undirected
HAN,LEIA,44,Undirected
HAN,LUKE,6,Undirected
HAN,MAZ,28,Undirected
HAN,REY,100,Undirected
HAN,KYLO_REN,21,Undirected
HAN,POE,5,Undirected
HAN,SNOKE,3,Undirected
KYLO_REN,REY,46,Undirected
KYLO_REN,TEKKA,8,Undirected
KYLO_REN,LUKE,12,Undirected
KYLO_REN,MAZ,2,Undirected
KYLO_REN,UNKAR,2,Undirected
KYLO_REN,POE,17,Undirected
KYLO_REN,LEIA,2,Undirected
KYLO_REN,SNOKE,20,Undirected
LEIA,REY,10,Undirected
LEIA,TEKKA,3,Undirected
LEIA,LUKE,6,Undirected
LEIA,MAZ,3,Undirected
LEIA,POE,13,Undirected
LEIA,SNOKE,1,Undirected
LUKE,REY,13,Undirected
LUKE,TEKKA,2,Undirected
LUKE,MAZ,3,Undirected
LUKE,UNKAR,1,Undirected
LUKE,POE,3,Undirected
LUKE,SNOKE,3,Undirected
MAZ,REY,22,Undirected
MAZ,UNKAR,1,Undirected
POE,REY,10,Undirected
POE,UNKAR,2,Undirected
POE,TEKKA,16,Undirected
REY,UNKAR,17,Undirected
REY,TEKKA,3,Undirected
REY,SNOKE,1,Undirected
