Source,Target,Weight,Type
ABE,MYERS,16,Undirected
ABE,QUARRY,5,Undirected
ABE,ILSA,2,Undirected
ABE,BROOM,27,Undirected
ABE,GRIGORY,1,Undirected
ABE,MANNING,8,Undirected
ABE,KROENEN,2,Undirected
ABE,HELLBOY,46,Undirected
ABE,MOSS,3,Undirected
ABE,CLAY,8,Undirected
ABE,SAMMAEL,9,Undirected
ABE,LIZ,4,Undirected
ABE,LIME,1,Undirected
BROOM,MYERS,43,Undirected
BROOM,QUARRY,1,Undirected
BROOM,ILSA,3,Undirected
BROOM,GRIGORY,17,Undirected
BROOM,MANNING,21,Undirected
BROOM,KROENEN,14,Undirected
BROOM,HELLBOY,47,Undirected
BROOM,MOSS,1,Undirected
BROOM,CLAY,8,Undirected
BROOM,SAMMAEL,1,Undirected
BROOM,MATLIN,23,Undirected
BROOM,LIZ,16,Undirected
BROOM,LIME,2,Undirected
CLAY,QUARRY,6,Undirected
CLAY,HELLBOY,35,Undirected
CLAY,MANNING,2,Undirected
CLAY,KROENEN,5,Undirected
CLAY,MOSS,5,Undirected
CLAY,MYERS,21,Undirected
CLAY,LIZ,1,Undirected
CLAY,LIME,1,Undirected
GRIGORY,SAMMAEL,6,Undirected
GRIGORY,ILSA,30,Undirected
GRIGORY,HELLBOY,20,Undirected
GRIGORY,MATLIN,4,Undirected
GRIGORY,KROENEN,13,Undirected
GRIGORY,MANNING,1,Undirected
GRIGORY,MYERS,7,Undirected
GRIGORY,LIZ,8,Undirected
HELLBOY,MYERS,121,Undirected
HELLBOY,QUARRY,6,Undirected
HELLBOY,ILSA,11,Undirected
HELLBOY,MANNING,53,Undirected
HELLBOY,KROENEN,23,Undirected
HELLBOY,MOSS,5,Undirected
HELLBOY,SAMMAEL,48,Undirected
HELLBOY,LIZ,73,Undirected
HELLBOY,LIME,13,Undirected
ILSA,MYERS,8,Undirected
ILSA,MATLIN,1,Undirected
ILSA,SAMMAEL,2,Undirected
ILSA,KROENEN,11,Undirected
ILSA,LIZ,5,Undirected
KROENEN,MANNING,4,Undirected
KROENEN,SAMMAEL,6,Undirected
KROENEN,MATLIN,2,Undirected
LIME,SAMMAEL,1,Undirected
LIME,QUARRY,1,Undirected
LIME,MANNING,3,Undirected
LIME,MOSS,1,Undirected
LIME,MYERS,7,Undirected
LIME,LIZ,5,Undirected
LIZ,MYERS,97,Undirected
LIZ,MANNING,12,Undirected
LIZ,SAMMAEL,6,Undirected
LIZ,MOSS,1,Undirected
LIZ,QUARRY,1,Undirected
MANNING,MYERS,11,Undirected
MANNING,SAMMAEL,2,Undirected
MOSS,MYERS,2,Undirected
MOSS,SAMMAEL,2,Undirected
MOSS,QUARRY,10,Undirected
MYERS,SAMMAEL,11,Undirected
MYERS,QUARRY,2,Undirected
QUARRY,SAMMAEL,2,Undirected
