Source,Target,Weight,Type
ANTHONY,NEO,5,Undirected
ANTHONY,SCREEN,1,Undirected
ANTHONY,DUJOUR,5,Undirected
APOC,NEO,14,Undirected
APOC,CYPHER,7,Undirected
APOC,TANK,5,Undirected
APOC,CABLE,3,Undirected
APOC,MORPHEUS,13,Undirected
APOC,DOZER,1,Undirected
APOC,MOUSE,4,Undirected
APOC,TRINITY,11,Undirected
APOC,GIZMO,1,Undirected
Agent_Brown,NEO,11,Undirected
Agent_Brown,TANK,1,Undirected
Agent_Brown,Agent_Jones,18,Undirected
Agent_Brown,MORPHEUS,9,Undirected
Agent_Brown,LIEUTENANT,1,Undirected
Agent_Brown,Agent_Smith,24,Undirected
Agent_Brown,TRINITY,5,Undirected
Agent_Jones,NEO,10,Undirected
Agent_Jones,SCREEN,1,Undirected
Agent_Jones,Agent_Smith,22,Undirected
Agent_Jones,TRINITY,5,Undirected
Agent_Jones,MORPHEUS,10,Undirected
Agent_Smith,NEO,33,Undirected
Agent_Smith,CYPHER,12,Undirected
Agent_Smith,TANK,1,Undirected
Agent_Smith,SCREEN,1,Undirected
Agent_Smith,MORPHEUS,29,Undirected
Agent_Smith,LIEUTENANT,9,Undirected
Agent_Smith,TRINITY,8,Undirected
CABLE,NEO,3,Undirected
CABLE,CYPHER,2,Undirected
CABLE,TANK,4,Undirected
CABLE,MORPHEUS,3,Undirected
CABLE,MOUSE,11,Undirected
CABLE,TRINITY,4,Undirected
CYPHER,NEO,28,Undirected
CYPHER,DOZER,13,Undirected
CYPHER,TANK,24,Undirected
CYPHER,SCREEN,3,Undirected
CYPHER,MORPHEUS,21,Undirected
CYPHER,MOUSE,1,Undirected
CYPHER,TRINITY,45,Undirected
DOZER,NEO,3,Undirected
DOZER,MOUSE,1,Undirected
DOZER,TANK,8,Undirected
DOZER,TRINITY,5,Undirected
DOZER,MORPHEUS,4,Undirected
DUJOUR,NEO,5,Undirected
DUJOUR,SCREEN,1,Undirected
GIZMO,NEO,8,Undirected
GIZMO,TRINITY,21,Undirected
GIZMO,MORPHEUS,2,Undirected
MORPHEUS,NEO,182,Undirected
MORPHEUS,TANK,41,Undirected
MORPHEUS,SCREEN,2,Undirected
MORPHEUS,ORACLE,4,Undirected
MORPHEUS,MOUSE,4,Undirected
MORPHEUS,TRINITY,64,Undirected
MOUSE,NEO,2,Undirected
MOUSE,TANK,11,Undirected
MOUSE,TRINITY,2,Undirected
NEO,ORACLE,22,Undirected
NEO,SCREEN,6,Undirected
NEO,TANK,50,Undirected
NEO,TRINITY,154,Undirected
NEO,RHINEHEART,4,Undirected
ORACLE,TANK,1,Undirected
ORACLE,TRINITY,2,Undirected
SCREEN,TRINITY,4,Undirected
TANK,TRINITY,58,Undirected
