Source,Target,Weight,Type
BENEDICT,DANNY,56,Undirected
BENEDICT,YEN,2,Undirected
BENEDICT,FRANK,17,Undirected
BENEDICT,TISHKOFF,11,Undirected
BENEDICT,RUSTY,30,Undirected
BENEDICT,VIRGIL,7,Undirected
BENEDICT,TURK,7,Undirected
BENEDICT,LIVINGSTON,7,Undirected
BENEDICT,SAUL,49,Undirected
BENEDICT,LINUS,48,Undirected
BENEDICT,TESS,62,Undirected
DANNY,TOPHER,9,Undirected
DANNY,YEN,33,Undirected
DANNY,FRANK,34,Undirected
DANNY,TISHKOFF,36,Undirected
DANNY,RUSTY,186,Undirected
DANNY,VIRGIL,17,Undirected
DANNY,TURK,13,Undirected
DANNY,LIVINGSTON,26,Undirected
DANNY,SAUL,30,Undirected
DANNY,LINUS,120,Undirected
DANNY,TESS,103,Undirected
FRANK,YEN,13,Undirected
FRANK,TISHKOFF,7,Undirected
FRANK,RUSTY,7,Undirected
FRANK,LIVINGSTON,29,Undirected
FRANK,TURK,11,Undirected
FRANK,VIRGIL,9,Undirected
FRANK,LINUS,27,Undirected
FRANK,SAUL,21,Undirected
LINUS,SAUL,17,Undirected
LINUS,YEN,29,Undirected
LINUS,TISHKOFF,16,Undirected
LINUS,RUSTY,45,Undirected
LINUS,LIVINGSTON,27,Undirected
LINUS,TURK,15,Undirected
LINUS,VIRGIL,15,Undirected
LINUS,TESS,7,Undirected
LIVINGSTON,YEN,19,Undirected
LIVINGSTON,TISHKOFF,11,Undirected
LIVINGSTON,RUSTY,36,Undirected
LIVINGSTON,VIRGIL,11,Undirected
LIVINGSTON,TURK,15,Undirected
LIVINGSTON,SAUL,21,Undirected
LIVINGSTON,TESS,1,Undirected
RUSTY,TOPHER,26,Undirected
RUSTY,YEN,18,Undirected
RUSTY,TISHKOFF,24,Undirected
RUSTY,VIRGIL,17,Undirected
RUSTY,TURK,19,Undirected
RUSTY,SAUL,47,Undirected
RUSTY,TESS,23,Undirected
SAUL,TESS,3,Undirected
SAUL,VIRGIL,15,Undirected
SAUL,TURK,20,Undirected
SAUL,TISHKOFF,15,Undirected
SAUL,YEN,24,Undirected
TESS,TISHKOFF,7,Undirected
TISHKOFF,VIRGIL,10,Undirected
TISHKOFF,TURK,6,Undirected
TISHKOFF,YEN,6,Undirected
TURK,VIRGIL,73,Undirected
TURK,YEN,18,Undirected
VIRGIL,YEN,19,Undirected
