Source,Target,Weight,Type
BRETT,BUTCH,2,Undirected
BRETT,MARVIN,2,Undirected
BRETT,JULES,58,Undirected
BRETT,MARSELLUS,2,Undirected
BRETT,ROGER,3,Undirected
BRETT,VINCENT,6,Undirected
BRETT,PUMPKIN,2,Undirected
BUDDY,MIA,6,Undirected
BUDDY,VINCENT,12,Undirected
BUNNY,LANCE,1,Undirected
BUNNY,BUTCH,2,Undirected
BUNNY,JULES,8,Undirected
BUNNY,JODY,2,Undirected
BUNNY,VINCENT,5,Undirected
BUNNY,WAITRESS,6,Undirected
BUNNY,PUMPKIN,65,Undirected
BUTCH,ZED,14,Undirected
BUTCH,MIA,1,Undirected
BUTCH,MARVIN,1,Undirected
BUTCH,JULES,2,Undirected
BUTCH,MARSELLUS,42,Undirected
BUTCH,ROGER,1,Undirected
BUTCH,KOONS,4,Undirected
BUTCH,PAUL,4,Undirected
BUTCH,PUMPKIN,1,Undirected
BUTCH,VINCENT,13,Undirected
BUTCH,GIMP,5,Undirected
GIMP,MARSELLUS,1,Undirected
GIMP,ZED,4,Undirected
JIMMIE,MARVIN,1,Undirected
JIMMIE,JULES,42,Undirected
JIMMIE,MARSELLUS,2,Undirected
JIMMIE,WOLF,56,Undirected
JIMMIE,VINCENT,16,Undirected
JIMMIE,PUMPKIN,2,Undirected
JODY,MIA,4,Undirected
JODY,LANCE,25,Undirected
JODY,VINCENT,18,Undirected
JULES,MIA,3,Undirected
JULES,MARVIN,10,Undirected
JULES,MARSELLUS,21,Undirected
JULES,WOLF,34,Undirected
JULES,ROGER,4,Undirected
JULES,PAUL,2,Undirected
JULES,VINCENT,268,Undirected
JULES,WAITRESS,3,Undirected
JULES,PUMPKIN,43,Undirected
KOONS,MIA,1,Undirected
KOONS,MARSELLUS,1,Undirected
KOONS,VINCENT,1,Undirected
LANCE,MIA,10,Undirected
LANCE,MARSELLUS,1,Undirected
LANCE,VINCENT,76,Undirected
LANCE,PUMPKIN,2,Undirected
MARSELLUS,ZED,10,Undirected
MARSELLUS,MIA,12,Undirected
MARSELLUS,MARVIN,1,Undirected
MARSELLUS,ROGER,1,Undirected
MARSELLUS,WOLF,4,Undirected
MARSELLUS,PAUL,8,Undirected
MARSELLUS,VINCENT,24,Undirected
MARSELLUS,PUMPKIN,1,Undirected
MARVIN,WOLF,2,Undirected
MARVIN,VINCENT,15,Undirected
MARVIN,ROGER,2,Undirected
MARVIN,PUMPKIN,2,Undirected
MIA,PAUL,5,Undirected
MIA,VINCENT,161,Undirected
MIA,WAITRESS,1,Undirected
PAUL,VINCENT,15,Undirected
PUMPKIN,VINCENT,10,Undirected
PUMPKIN,ROGER,2,Undirected
PUMPKIN,WAITRESS,4,Undirected
ROGER,VINCENT,2,Undirected
VINCENT,WOLF,25,Undirected
VINCENT,WAITRESS,4,Undirected
