Source,Target,Weight,Type
ANDY,REX,23,Undirected
ANDY,BUZZ,50,Undirected
ANDY,SARGENT,15,Undirected
ANDY,SLINKY,20,Undirected
ANDY,BO_PEEP,15,Undirected
ANDY,SID,14,Undirected
ANDY,WOODY,101,Undirected
ANDY,HAMM,13,Undirected
ANDY,MR_POTATO_HEAD,28,Undirected
ANDY,MRS_DAVIS,70,Undirected
BO_PEEP,REX,18,Undirected
BO_PEEP,BUZZ,10,Undirected
BO_PEEP,SARGENT,4,Undirected
BO_PEEP,SLINKY,18,Undirected
BO_PEEP,SID,2,Undirected
BO_PEEP,WOODY,27,Undirected
BO_PEEP,HAMM,10,Undirected
BO_PEEP,MR_POTATO_HEAD,17,Undirected
BO_PEEP,MRS_DAVIS,4,Undirected
BUZZ,REX,24,Undirected
BUZZ,HANNAH,12,Undirected
BUZZ,SARGENT,5,Undirected
BUZZ,SLINKY,17,Undirected
BUZZ,SID,45,Undirected
BUZZ,WOODY,378,Undirected
BUZZ,HAMM,8,Undirected
BUZZ,MR_POTATO_HEAD,21,Undirected
BUZZ,MRS_DAVIS,12,Undirected
HAMM,REX,16,Undirected
HAMM,HANNAH,1,Undirected
HAMM,SARGENT,7,Undirected
HAMM,SLINKY,8,Undirected
HAMM,SID,5,Undirected
HAMM,WOODY,27,Undirected
HAMM,MR_POTATO_HEAD,33,Undirected
HAMM,MRS_DAVIS,4,Undirected
HANNAH,WOODY,14,Undirected
HANNAH,MRS_DAVIS,3,Undirected
HANNAH,SID,33,Undirected
MRS_DAVIS,REX,4,Undirected
MRS_DAVIS,SARGENT,9,Undirected
MRS_DAVIS,SLINKY,4,Undirected
MRS_DAVIS,SID,3,Undirected
MRS_DAVIS,WOODY,18,Undirected
MRS_DAVIS,MR_POTATO_HEAD,4,Undirected
MR_POTATO_HEAD,WOODY,64,Undirected
MR_POTATO_HEAD,REX,35,Undirected
MR_POTATO_HEAD,SID,6,Undirected
MR_POTATO_HEAD,SLINKY,27,Undirected
MR_POTATO_HEAD,SARGENT,12,Undirected
REX,WOODY,42,Undirected
REX,SLINKY,36,Undirected
REX,SID,6,Undirected
REX,SARGENT,5,Undirected
SARGENT,WOODY,22,Undirected
SARGENT,SLINKY,7,Undirected
SID,WOODY,87,Undirected
SID,SLINKY,6,Undirected
SLINKY,WOODY,58,Undirected
