Source,Target,Weight,Type
BEAST,LOGAN,7,Undirected
BEAST,ROGUE,8,Undirected
BEAST,MAGENTO,5,Undirected
BEAST,STORM,23,Undirected
BEAST,XAVIER,13,Undirected
BEAST,KELLY,8,Undirected
BEAST,CYCLOPS,21,Undirected
BEAST,JEAN,15,Undirected
CYCLOPS,GUYRICH,2,Undirected
CYCLOPS,TOAD,6,Undirected
CYCLOPS,MYSTIQUE,1,Undirected
CYCLOPS,PYRO,7,Undirected
CYCLOPS,LOGAN,43,Undirected
CYCLOPS,ROGUE,36,Undirected
CYCLOPS,MAGENTO,20,Undirected
CYCLOPS,STORM,65,Undirected
CYCLOPS,SABRETOOTH,17,Undirected
CYCLOPS,KELLY,16,Undirected
CYCLOPS,XAVIER,35,Undirected
CYCLOPS,JEAN,108,Undirected
GUYRICH,MYSTIQUE,3,Undirected
GUYRICH,PYRO,2,Undirected
GUYRICH,LOGAN,1,Undirected
GUYRICH,MAGENTO,4,Undirected
GUYRICH,SABRETOOTH,2,Undirected
GUYRICH,KELLY,20,Undirected
GUYRICH,XAVIER,1,Undirected
GUYRICH,JEAN,2,Undirected
JEAN,TOAD,3,Undirected
JEAN,MYSTIQUE,7,Undirected
JEAN,PYRO,7,Undirected
JEAN,LOGAN,74,Undirected
JEAN,ROGUE,37,Undirected
JEAN,MAGENTO,23,Undirected
JEAN,STORM,50,Undirected
JEAN,SABRETOOTH,13,Undirected
JEAN,KELLY,42,Undirected
JEAN,XAVIER,30,Undirected
KELLY,TOAD,3,Undirected
KELLY,MYSTIQUE,9,Undirected
KELLY,PYRO,8,Undirected
KELLY,LOGAN,13,Undirected
KELLY,ROGUE,10,Undirected
KELLY,MAGENTO,31,Undirected
KELLY,STORM,7,Undirected
KELLY,SABRETOOTH,14,Undirected
KELLY,XAVIER,18,Undirected
LOGAN,TOAD,5,Undirected
LOGAN,MYSTIQUE,9,Undirected
LOGAN,PYRO,5,Undirected
LOGAN,ROGUE,37,Undirected
LOGAN,MAGENTO,43,Undirected
LOGAN,STORM,33,Undirected
LOGAN,SABRETOOTH,26,Undirected
LOGAN,XAVIER,60,Undirected
MAGENTO,TOAD,4,Undirected
MAGENTO,MYSTIQUE,13,Undirected
MAGENTO,PYRO,10,Undirected
MAGENTO,ROGUE,12,Undirected
MAGENTO,STORM,17,Undirected
MAGENTO,SABRETOOTH,27,Undirected
MAGENTO,XAVIER,21,Undirected
MYSTIQUE,TOAD,3,Undirected
MYSTIQUE,PYRO,7,Undirected
MYSTIQUE,ROGUE,10,Undirected
MYSTIQUE,STORM,4,Undirected
MYSTIQUE,SABRETOOTH,8,Undirected
MYSTIQUE,XAVIER,6,Undirected
PYRO,TOAD,7,Undirected
PYRO,XAVIER,3,Undirected
PYRO,ROGUE,2,Undirected
PYRO,STORM,1,Undirected
PYRO,SABRETOOTH,9,Undirected
ROGUE,TOAD,4,Undirected
ROGUE,XAVIER,29,Undirected
ROGUE,STORM,47,Undirected
ROGUE,SABRETOOTH,8,Undirected
SABRETOOTH,TOAD,6,Undirected
SABRETOOTH,XAVIER,5,Undirected
SABRETOOTH,STORM,17,Undirected
STORM,TOAD,12,Undirected
STORM,XAVIER,25,Undirected
TOAD,XAVIER,5,Undirected
